UA4000190102,,190102,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",06/09/2015,"1 000,00 (UAH)",06/09/2015,TRUE,??????,FALSE,3/25/2026,
UA4000188585,,188585,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",12/30/2014,"1 000,00 (UAH)",06/10/2015,TRUE,??????,FALSE,12/04/2024,
UA4000184402,,184402,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,800,000",6/19/2014,"1 000,00 (UAH)",6/16/2015,TRUE,??????,FALSE,12/09/2020,
UA4000188981,,188981,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"2,500,000",02/02/2015,"1 000,00 (UAH)",6/16/2015,TRUE,??????,FALSE,1/22/2020,
UA4000189708,,189708,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,500,000",4/14/2015,"1 000,00 (UAH)",6/16/2015,TRUE,??????,FALSE,7/30/2025,
UA4000190276,,190276,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",6/16/2015,"1 000,00 (UAH)",6/16/2015,TRUE,??????,FALSE,4/22/2026,
UA4000186241,,186241,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",8/28/2014,"1 000,00 (UAH)",6/22/2015,TRUE,??????,FALSE,02/10/2021,
UA4000185656,,185656,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,200,000",08/04/2014,"1 000,00 (UAH)",6/23/2015,TRUE,??????,FALSE,5/19/2021,
UA4000190284,,190284,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,200,000",6/23/2015,"1 000,00 (UAH)",6/23/2015,TRUE,??????,FALSE,5/27/2026,
UA4000063135,,63135,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,500,000",12/30/2009,"1 000,00 (UAH)",6/30/2015,TRUE,??????,FALSE,06/09/2021,
UA4000063143,,63143,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,500,000",12/30/2009,"1 000,00 (UAH)",6/30/2015,TRUE,??????,FALSE,06/01/2022,
UA4000179576,,179576,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"2,500,000",2/14/2014,"1 000,00 (UAH)",6/30/2015,TRUE,??????,FALSE,1/16/2019,
UA4000185771,,185771,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",08/12/2014,"1 000,00 (UAH)",6/30/2015,TRUE,??????,FALSE,1/17/2024,
UA4000185789,,185789,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",08/12/2014,"1 000,00 (UAH)",6/30/2015,TRUE,??????,FALSE,4/24/2024,
UA4000185821,,185821,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",08/12/2014,"1 000,00 (UAH)",6/30/2015,TRUE,??????,FALSE,1/19/2022,
UA4000190334,,190334,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,500,000",6/30/2015,"1 000,00 (UAH)",6/30/2015,TRUE,??????,FALSE,06/03/2026,
UA4000185920,,185920,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,000,000",08/12/2014,"1 000,00 (UAH)",07/01/2015,TRUE,??????,FALSE,3/27/2024,
UA4000185839,,185839,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",08/12/2014,"1 000,00 (UAH)",07/01/2015,TRUE,??????,FALSE,6/29/2022,
UA4000185847,,185847,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",08/12/2014,"1 000,00 (UAH)",07/01/2015,TRUE,??????,FALSE,7/13/2022,
UA4000185854,,185854,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",08/12/2014,"1 000,00 (UAH)",07/01/2015,TRUE,??????,FALSE,7/27/2022,
UA4000185870,,185870,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",08/12/2014,"1 000,00 (UAH)",07/01/2015,TRUE,??????,FALSE,1/21/2023,
UA4000185888,,185888,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",08/12/2014,"1 000,00 (UAH)",07/01/2015,TRUE,??????,FALSE,4/26/2023,
UA4000189799,,189799,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,800,000",4/28/2015,"1 000,00 (UAH)",07/01/2015,TRUE,??????,FALSE,12/10/2025,
UA4000142137,,142137,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,999,550",6/14/2012,"1 000,00 (UAH)",07/07/2015,TRUE,??????,FALSE,5/22/2019,
UA4000186803,,186803,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"930,000",9/24/2014,"1 000,00 (UAH)",07/07/2015,TRUE,??????,FALSE,09/11/2024,
UA4000190383,,190383,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"500,000",07/07/2015,"1 000,00 (UAH)",07/07/2015,TRUE,??????,FALSE,05/06/2026,
UA4000179741,,179741,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"1,500,000",2/26/2014,"1 000,00 (UAH)",7/14/2015,TRUE,??????,FALSE,2/20/2019,
UA4000188593,,188593,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",12/30/2014,"1 000,00 (UAH)",7/14/2015,TRUE,??????,FALSE,12/11/2024,
UA4000189138,,189138,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"2,200,000",2/13/2015,"1 000,00 (UAH)",7/14/2015,TRUE,??????,FALSE,1/29/2020,
UA4000190441,,190441,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,000,000",7/14/2015,"1 000,00 (UAH)",7/14/2015,TRUE,??????,FALSE,10/14/2026,
UA4000179691,,179691,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"600,000",2/18/2014,"1 000,00 (UAH)",7/20/2015,TRUE,??????,FALSE,2/13/2019,
UA4000186258,,186258,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",09/04/2014,"1 000,00 (UAH)",7/21/2015,TRUE,??????,FALSE,8/18/2021,
UA4000189146,,189146,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"2,200,000",2/13/2015,"1 000,00 (UAH)",7/21/2015,TRUE,??????,FALSE,02/05/2020,
UA4000129241,,129241,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,000,000",10/10/2011,"1 000,00 (UAH)",7/27/2015,TRUE,??????,FALSE,9/15/2021,
UA4000165773,,165773,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"30,657",4/23/2013,"1 000,00 (UAH)",7/28/2015,TRUE,??????,FALSE,04/08/2020,
UA4000171094,,171094,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,403,338",7/16/2013,"1 000,00 (UAH)",7/28/2015,TRUE,??????,FALSE,08/08/2020,
UA4000173371,,173371,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"330,000",09/03/2013,"1 000,00 (UAH)",7/28/2015,TRUE,??????,FALSE,8/23/2023,
UA4000179196,,179196,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,626,723",1/29/2014,"1 000,00 (UAH)",7/28/2015,TRUE,??????,FALSE,1/23/2019,
UA4000189591,,189591,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"3,203,998",04/01/2015,"1 000,00 (UAH)",7/28/2015,TRUE,??????,FALSE,3/19/2025,
UA4000189963,,189963,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,200,000",5/26/2015,"1 000,00 (UAH)",7/28/2015,TRUE,??????,FALSE,10/08/2025,
UA4000190573,,190573,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,200,000",7/28/2015,"1 000,00 (UAH)",7/28/2015,TRUE,??????,FALSE,11/25/2026,
UA4000190870,,190870,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"500,000",08/04/2015,"1 000,00 (UAH)",08/04/2015,TRUE,??????,FALSE,6/24/2026,
UA4000190961,,190961,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"800,000",08/11/2015,"1 000,00 (UAH)",08/11/2015,TRUE,??????,FALSE,01/06/2027,
UA4000191019,,191019,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,200,000",8/18/2015,"1 000,00 (UAH)",8/18/2015,TRUE,??????,FALSE,12/09/2026,
UA4000191399,,191399,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",9/29/2015,"1 000,00 (UAH)",9/29/2015,TRUE,??????,FALSE,02/02/2028,
UA4000191407,,191407,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,500,000",9/29/2015,"1 000,00 (UAH)",9/29/2015,TRUE,??????,FALSE,03/01/2028,
UA4000192132,,192132,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"2,000,000",11/24/2015,"1 000,00 (UAH)",11/24/2015,TRUE,??????,FALSE,3/29/2028,
UA4000192355,,192355,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"4,000,000",12/15/2015,"1 000,00 (UAH)",12/15/2015,TRUE,??????,FALSE,4/26/2028,
UA4000187348,,187348,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"1,000,000",10/31/2014,"1 000,00 (UAH)",12/30/2015,TRUE,??????,FALSE,10/12/2029,
UA4000187884,,187884,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,"3,250,000",11/14/2014,"1 000,00 (UAH)",12/30/2015,TRUE,??????,FALSE,4/27/2029,
UA4000192660,,192660,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"535,000",1/27/2016,"1 000,00 (UAH)",1/28/2016,TRUE,??????,FALSE,1/23/2019,
UA4000192678,,192678,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,"3,000,000",1/29/2016,"1 000,00 (UAH)",02/01/2016,TRUE,??????,FALSE,11/26/2025,
UA4000192686,,192686,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,"3,000,000",1/29/2016,"1 000,00 (UAH)",02/01/2016,TRUE,??????,FALSE,12/24/2025,
UA4000192694,,192694,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ? ???????????? ???????? ??????????????? ??????,"3,319,000",1/29/2016,"1 000,00 (UAH)",02/01/2016,TRUE,??????,FALSE,1/14/2026,
UA4000194088,,194088,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"3,057,500",4/27/2016,"1 000,00 (UAH)",4/28/2016,TRUE,??????,FALSE,4/24/2019,
XS1303929894,,XS9894,13480,???????????? ???????? ???????,????????? ????????? ???????????????? ???????,"3,214,120",11/11/2015,"1 000,00 (USD)",05/11/2016,FALSE,???????????????,FALSE,5/31/2040,
UA4000194138,,194138,13480,???????????? ???????? ???????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,"1,952,336",5/17/2016,"1 000,00 (UAH)",5/18/2016,TRUE,??????,FALSE,5/15/2019,
