UA4000190102,,190102,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,09.06.2015,"1 000,00 (UAH)",09.06.2015,VRAI,??????,FAUX,25.03.2026
UA4000188585,,188585,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,30.12.2014,"1 000,00 (UAH)",10.06.2015,VRAI,??????,FAUX,04.12.2024
UA4000184402,,184402,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 800 000,19.06.2014,"1 000,00 (UAH)",16.06.2015,VRAI,??????,FAUX,09.12.2020
UA4000188981,,188981,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,2 500 000,02.02.2015,"1 000,00 (UAH)",16.06.2015,VRAI,??????,FAUX,22.01.2020
UA4000189708,,189708,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 500 000,14.04.2015,"1 000,00 (UAH)",16.06.2015,VRAI,??????,FAUX,30.07.2025
UA4000190276,,190276,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,16.06.2015,"1 000,00 (UAH)",16.06.2015,VRAI,??????,FAUX,22.04.2026
UA4000186241,,186241,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,28.08.2014,"1 000,00 (UAH)",22.06.2015,VRAI,??????,FAUX,10.02.2021
UA4000185656,,185656,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 200 000,04.08.2014,"1 000,00 (UAH)",23.06.2015,VRAI,??????,FAUX,19.05.2021
UA4000190284,,190284,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 200 000,23.06.2015,"1 000,00 (UAH)",23.06.2015,VRAI,??????,FAUX,27.05.2026
UA4000063135,,63135,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 500 000,30.12.2009,"1 000,00 (UAH)",30.06.2015,VRAI,??????,FAUX,09.06.2021
UA4000063143,,63143,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,1 500 000,30.12.2009,"1 000,00 (UAH)",30.06.2015,VRAI,??????,FAUX,01.06.2022
UA4000179576,,179576,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ???????????????? ?????????? ??????????????? ??????,2 500 000,14.02.2014,"1 000,00 (UAH)",30.06.2015,VRAI,??????,FAUX,16.01.2019
UA4000185771,,185771,13480,???????????? ????????,????????? ?????????? ????????? ????? ??????? ????????????? ?????????? ??????????????? ??????,2 500 000,12.08.2014,"1 000,00 (UAH)",30.06.2015,VRAI,??????,FAUX,17.01.2024
