"Nom";"ISIN";"Symbole";"Place";"Maturité";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Bonds";"";;;;;;;;;;;;
"09 Avr 2019";;;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;;
"AAB 0.875%14JAN26";"XS1344751968";;"Euronext Amsterdam";"2026-01-14";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1%13APR31";"XS1394791492";;"Euronext Amsterdam";"2031-04-13";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1%16APR25";"XS1218821756";;"Euronext Amsterdam";"2025-04-16";"%";"103.98";"103.98";"103.98";"103.98";"08/04/2019 12:42";"CET";"25000";"25995.00"
"AAB 1,625%03JUN19";"XS0940002628";;"Euronext Amsterdam";"2019-06-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.125% 12JAN32";"XS1548458014";;"Euronext Amsterdam";"2032-01-12";"%";"98.24";"98.24";"98.24";"98.24";"22/02/2017 14:10";"CET";"100000";"98372.53"
"AAB 1.211%27JAN23";"XS1352924275";;"Euronext Amsterdam";"2023-01-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.29%10MCH36";"XS1377257032";;"Euronext Amsterdam";"2036-03-10";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.375%12JAN37";"XS1548493946";;"Euronext Amsterdam";"2037-01-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.375%12JAN37";"XS1645503621";;"Euronext Amsterdam";"2037-01-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.5125%18MCH36";"XS1381467585";;"Euronext Amsterdam";"2036-03-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.518 8JUN38";"XS1834053149";;"Euronext Amsterdam";"2038-06-08";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.606%14SEP37";"XS1681558679";;"Euronext Amsterdam";"2037-09-14";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.75%18JUN19";"XS0904039236";;"Euronext Amsterdam";"2019-06-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 1.875%31JUL19";"XS0810731637";;"Euronext Amsterdam";"2019-07-31";"%";"101.00";"101.01";"101.00";"101.01";"21/01/2019 10:23";"CET";"162000";"163623.10"
"AAB 1.888%15MCH31";"XS1379607291";;"Euronext Amsterdam";"2031-03-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 2%30JUL19";"XS0955560353";;"Euronext Amsterdam";"2019-07-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 2.375%23JAN24";"XS1020769748";;"Euronext Amsterdam";"2024-01-23";"%";"112.10";"112.10";"109.49";"109.49";"05/10/2018 13:58";"CET";"50000";"55397.50"
"AAB 2.5%29NOV2023";"XS0937858271";;"Euronext Amsterdam";"2023-11-29";"%";"110.39";"110.39";"110.39";"110.39";"05/04/2019 10:49";"CET";"1000";"1103900.00"
"AAB 2.5%5SEP2023";"XS0968926757";;"Euronext Amsterdam";"2023-09-05";"%";"114.11";"114.11";"114.11";"114.11";"18/01/2016 16:06";"CET";"50000";"57522.90"
"AAB 2.721%03NOV20";"XS0553050724";;"Euronext Amsterdam";"2020-11-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 2.786%26JUL29";"XS0807189690";;"Euronext Amsterdam";"2029-07-26";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 2.905%31JUL23";"XS0956496375";;"Euronext Amsterdam";"2023-07-31";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 3.03%5JUN2043";"XS0940750762";;"Euronext Amsterdam";"2043-06-05";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 3.1%18DEC33";"XS1005291650";;"Euronext Amsterdam";"2033-12-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 3.16% 13DEC25";"XS1003541528";;"Euronext Amsterdam";"2025-12-13";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 3.22%19APR27";"XS0773649438";;"Euronext Amsterdam";"2027-04-19";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 3.43%18APR19";"XS0773367452";;"Euronext Amsterdam";"2019-04-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 3.5%18JAN22";"XS0732631824";;"Euronext Amsterdam";"2022-01-18";"%";"120.05";"120.05";"120.05";"120.05";"22/09/2016 14:31";"CET";"50000";"61229.92"
"AAB 3.5%21SEP2022";"XS0543370430";;"Euronext Amsterdam";"2022-09-21";"%";"113.15";"113.15";"113.15";"113.15";"19/10/2018 10:57";"CET";"75000";"84862.50"
"AAB 3.625%22JUN20";"XS0519053184";;"Euronext Amsterdam";"2020-06-22";"%";"106.04";"106.04";"106.04";"106.04";"26/11/2018 11:00";"CET";"180000";"190872.00"
"AAB 4,75 PL";"XS1693822634";;"Euronext Amsterdam";;"%";"64.60";"64.60";"64.60";"64.60";"29/10/2018 13:10";"CET";"0";"102760000000.00"
"AAB 4.125%28MCH22";"XS0765299572";;"Euronext Amsterdam";"2022-03-28";"%";"112.69";"112.69";"112.69";"112.69";"02/04/2019 11:42";"CET";"4000";"4507.60"
"AAB 4.155%20OCT22";"XS0550570955";;"Euronext Amsterdam";"2022-10-20";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 4.25%06APR21";"XS0613145712";;"Euronext Amsterdam";"2021-04-06";"%";"111.72";"111.72";"111.72";"111.72";"09/07/2018 13:32";"CET";"155000";"173166.00"
"AAB 4.42%29OCT25";"XS0553805978";;"Euronext Amsterdam";"2025-10-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 4.625%16APR19";"XS1055206038";;"Euronext Amsterdam";"2019-04-16";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 4.75%28JUL25";"US00080QAF28";;"Euronext Amsterdam";"2025-07-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 4.75%28JUL25";"XS1264600310";;"Euronext Amsterdam";"2025-07-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 5%09FEB22";"NL0009980945";;"Euronext Amsterdam";"2022-02-09";"%";"114.00";"114.00";"114.00";"114.00";"05/04/2019 10:08";"CET";"30000";"34200000.00"
"AAB 5.4%18FEB2026";"XS0592463136";;"Euronext Amsterdam";"2026-02-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB 7.125%06JUL22";"XS0802995166";;"Euronext Amsterdam";"2022-07-06";"%";"121.36";"121.36";"121.36";"121.36";"08/04/2019 10:41";"CET";"5000";"6068.00"
"AAB ANN OPTINTZC36";"XS0252108674";;"Euronext Amsterdam";"2036-05-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB AUD 6.84%JUN12";"XS0795428498";;"Euronext Amsterdam";"2022-06-21";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB AUD5.25%JUL19";"XS0953132999";;"Euronext Amsterdam";"2019-07-23";"%";"101.00";"101.00";"101.00";"101.00";"06/09/2018 09:31";"CET";"10000";"6248.46"
"AAB AUD5.625%DEC20";"XS0999526790";;"Euronext Amsterdam";"2020-12-10";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB CB1.45 12APR38";"XS1805353734";;"Euronext Amsterdam";"2038-04-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB CMS RAN FRN20D";"XS0224587443";;"Euronext Amsterdam";"2020-07-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FIX 4.16%OCT22";"XS0549663341";;"Euronext Amsterdam";"2022-10-21";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN%11MCH20";"XS1199643427";;"Euronext Amsterdam";"2020-03-11";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN%25APR19";"XS1061713944";;"Euronext Amsterdam";"2019-04-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN11MAY26";"XS0626260383";;"Euronext Amsterdam";"2026-05-11";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN14DEC22";"XS0866439879";;"Euronext Amsterdam";"2022-12-14";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN16NOV22";"XS0558261888";;"Euronext Amsterdam";"2022-11-16";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN17JAN20";"XS0875036237";;"Euronext Amsterdam";"2020-01-17";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN18APR31";"XS0618836497";;"Euronext Amsterdam";"2031-04-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN18APR35";"XS0217039311";;"Euronext Amsterdam";"2035-04-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN18JAN22";"XS0876056390";;"Euronext Amsterdam";"2022-01-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN18MCH21";"XS1381941167";;"Euronext Amsterdam";"2021-03-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN1MCH21";"XS1373217931";;"Euronext Amsterdam";"2021-03-01";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN20APR24";"XS0612377712";;"Euronext Amsterdam";"2024-04-20";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN21APR21";"XS0619628083";;"Euronext Amsterdam";"2021-04-21";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN21SEP26";"XS0660291310";;"Euronext Amsterdam";"2026-09-21";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN28OCT30";"XS0553043786";;"Euronext Amsterdam";"2030-10-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN28OCT31";"XS0553043943";;"Euronext Amsterdam";"2031-10-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN29MCH21";"XS0729611706";;"Euronext Amsterdam";"2021-03-21";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FRN30MCH24";"XS0766347933";;"Euronext Amsterdam";"2024-03-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB FX MM ZC5OCT20";"XS0227787818";;"Euronext Amsterdam";"2020-10-05";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB GBP   6 3/8%28";"XS0107382532";;"Euronext Amsterdam";"2028-12-07";"%";"124.00";"124.00";"124.00";"124.00";"11/02/2016 11:30";"CET";"52000";"82685.02"
"AAB NOK 4.23%JAN24";"XS1016899053";;"Euronext Amsterdam";"2024-01-31";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB NOK 4.76%SEP22";"XS0830620372";;"Euronext Amsterdam";"2022-09-26";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB NOK 5.08%JUN21";"XS0633195978";;"Euronext Amsterdam";"2021-06-09";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB NOK FRNFEB22";"XS0737138205";;"Euronext Amsterdam";"2022-02-02";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB NOK4.2%10SEP20";"XS0969645109";;"Euronext Amsterdam";"2020-09-10";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB NOK4.5%20OCT20";"XS0550960313";;"Euronext Amsterdam";"2020-10-20";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB NOK4.8%03DEC20";"XS0565716122";;"Euronext Amsterdam";"2020-12-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB NZD 6%17JUN19";"XS1003346829";;"Euronext Amsterdam";"2019-06-17";"%";"107.00";"107.00";"107.00";"107.00";"13/10/2017 17:28";"CET";"10000";"6590.01"
"AAB USD ZC22MAY42";"XS0779842912";;"Euronext Amsterdam";"2042-05-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB USD ZC24MAY42";"XS0779350965";;"Euronext Amsterdam";"2042-05-24";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB USD ZC5APR42";"XS0766148570";;"Euronext Amsterdam";"2042-04-05";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB ZC10APR42";"XS0766163967";;"Euronext Amsterdam";"2042-04-10";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB ZC12APR42";"XS0769747055";;"Euronext Amsterdam";"2042-04-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB0.14%22NOV2022";"XS1915502774";;"Euronext Amsterdam";"2022-11-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB0.25%3DEC2021";"XS1917577931";;"Euronext Amsterdam";"2021-12-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB0.46%22NOV2024";"XS1915503665";;"Euronext Amsterdam";"2024-11-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB0.5%17JUL2023";"XS1856791873";;"Euronext Amsterdam";"2023-07-17";"%";"99.21";"99.21";"99.21";"99.21";"30/11/2018 14:56";"CET";"100000";"99210.00"
"AAB0.75%9JUN2020";"XS1244060486";;"Euronext Amsterdam";"2020-06-09";"%";"101.84";"101.84";"101.84";"101.84";"07/02/2018 11:20";"CET";"4000";"4073.60"
"AAB0.875%15JAN2024";"XS1935139995";;"Euronext Amsterdam";"2024-01-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB0.875%22APR2025";"XS1808739459";;"Euronext Amsterdam";"2025-04-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB0.88%25JUN2028";"XS1847694764";;"Euronext Amsterdam";"2028-06-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB0.89%22NOV2027";"XS1915504044";;"Euronext Amsterdam";"2027-11-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1%30JUN2020";"XS1646904828";;"Euronext Amsterdam";"2020-06-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.053%28MAR2034";"XS1970698566";;"Euronext Amsterdam";"2034-03-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.1%29AUG30";"XS1874729624";;"Euronext Amsterdam";"2030-08-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.171%4APR2044";"XS1975973485";;"Euronext Amsterdam";"2044-04-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.25%10JAN2033";"XS1747670922";;"Euronext Amsterdam";"2033-01-10";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.3%3SEP2033";"XS1874835652";;"Euronext Amsterdam";"2033-09-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.34%29AUG33";"XS1874729897";;"Euronext Amsterdam";"2033-08-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.375%10JAN2034";"XS1933815455";;"Euronext Amsterdam";"2034-01-10";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.42%29AUG35";"XS1874729970";;"Euronext Amsterdam";"2035-08-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.485%23MAY2034";"XS1824461906";;"Euronext Amsterdam";"2034-05-23";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.50%30SEP30";"XS1298431799";;"Euronext Amsterdam";"2030-09-30";"%";"113.50";"113.50";"113.50";"113.50";"24/08/2016 14:26";"CET";"250000";"287141.39"
"AAB1.53%2JUL2038";"XS1844347176";;"Euronext Amsterdam";"2038-07-02";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.565%7SEP2043";"XS1876164846";;"Euronext Amsterdam";"2043-09-07";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.575%25JAN2040";"XS1940860593";;"Euronext Amsterdam";"2040-01-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.585%21JAN2039";"XS1935332137";;"Euronext Amsterdam";"2039-01-21";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.597%26MAY2043";"XS1844175700";;"Euronext Amsterdam";"2043-06-26";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.6%15JUN2038";"XS1838022322";;"Euronext Amsterdam";"2038-06-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.6%22NOV2038";"XS1915504713";;"Euronext Amsterdam";"2038-11-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.65%29SEP2037";"XS1692167205";;"Euronext Amsterdam";"2037-09-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB1.95%7DEC2048";"XS1918830479";;"Euronext Amsterdam";"2048-12-07";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB144A 7.75%MAY23";"US00080QAD79";;"Euronext Amsterdam";"2023-05-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB144A1.8%20SEP19";"US00084DAM20";;"Euronext Amsterdam";"2019-09-20";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB144A2.45%4JUN20";"US00084DAJ90";;"Euronext Amsterdam";"2020-06-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB2%22JUL19";"XS1015339218";;"Euronext Amsterdam";"2019-07-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB2.29%29JUL30";"XS1266142097";;"Euronext Amsterdam";"2030-07-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB2.65%19JAN2021";"XS1743726835";;"Euronext Amsterdam";"2021-01-19";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB2.65%19JAN2021";"US00084DAQ34";;"Euronext Amsterdam";"2021-01-19";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB3.015%10JUN2026";"XS1039671802";;"Euronext Amsterdam";"2026-06-10";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB3.4%27AIUG2021";"XS1871116171";;"Euronext Amsterdam";"2021-08-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB3.4%27AUG2021";"US00084DAT72";;"Euronext Amsterdam";"2021-08-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB4.37%08SEP25";"XS1285080740";;"Euronext Amsterdam";"2025-09-08";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB4.37%8SEP25";"XS1301382500";;"Euronext Amsterdam";"2025-09-08";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AAB4.4%27MAR2028";"XS1586330604";;"Euronext Amsterdam";"2028-03-27";"%";"99.00";"99.00";"99.00";"99.00";"23/05/2018 16:08";"CET";"200000";"169115.17"
"AAB5.25%17MAR21";"XS1040431519";;"Euronext Amsterdam";"2021-03-17";"%";"104.00";"104.00";"104.00";"104.00";"04/02/2019 10:45";"CET";"54000";"35427.69"
"AAB5.75%17MAR2020";"XS1043140075";;"Euronext Amsterdam";"2020-03-17";"%";"104.50";"104.50";"104.50";"104.50";"19/04/2018 10:31";"CET";"100000";"61695.54"
"AAB5.750%PL";"XS1278718686";;"Euronext Amsterdam";;"%";"108.62";"108.64";"108.62";"108.64";"04/05/2017 17:25";"CET";"300000";"328103.13"
"AABFRN08SEP2020";"XS1285364425";;"Euronext Amsterdam";"2020-09-08";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABFRN15JAN2021";"XS1935134095";;"Euronext Amsterdam";"2021-01-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABFRN19JAN2021";"XS1743726918";;"Euronext Amsterdam";"2021-01-19";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABFRN19JAN2021";"US00084DAR17";;"Euronext Amsterdam";"2021-01-19";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABFRN19JUL2022";"XS1645476125";;"Euronext Amsterdam";"2022-07-19";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABFRN27AUG2021";"XS1871116338";;"Euronext Amsterdam";"2021-08-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABFRN27AUG2021";"US00084DAS99";;"Euronext Amsterdam";"2021-08-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABFRN3DEC2021";"XS1917574755";;"Euronext Amsterdam";"2021-12-03";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABGBP1.375%7JUN22";"XS1701271709";;"Euronext Amsterdam";"2022-06-07";"%";"99.00";"99.00";"99.00";"99.00";"28/02/2018 15:56";"CET";"100000";"111971.97"
"AABN1.19%7MAR36";"XS1374540760";;"Euronext Amsterdam";"2036-03-07";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN1.425%17APR45";"XS1218969746";;"Euronext Amsterdam";"2045-04-17";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN1.75%10MAR20";"XS1199453728";;"Euronext Amsterdam";"2020-03-10";"%";"100.00";"100.00";"100.00";"100.00";"21/10/2015 10:20";"CET";"16000";"10954.65"
"AABN1.795%26NOV35";"XS1324462966";;"Euronext Amsterdam";"2035-11-26";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN1.803%15OCT35";"XS1307243532";;"Euronext Amsterdam";"2035-10-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN1.862%7MAR2031";"XS1376388192";;"Euronext Amsterdam";"2031-03-07";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN1.875%25NOV27";"XS1325221031";;"Euronext Amsterdam";"2027-11-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN1.919%18MAR31";"XS1381583902";;"Euronext Amsterdam";"2031-03-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN2.126%27JUL27";"XS1265350238";;"Euronext Amsterdam";"2027-07-27";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN2.25%14DEC30";"XS1333213491";;"Euronext Amsterdam";"2030-12-14";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN2.375%02DEC36";"XS1328124893";;"Euronext Amsterdam";"2036-12-02";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN2.375%7DEC21";"XS1330259018";;"Euronext Amsterdam";"2021-12-07";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN2.5%01OCT35";"XS1295345919";;"Euronext Amsterdam";"2035-10-01";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN2.875%18JAN23";"XS1346254573";;"Euronext Amsterdam";"2028-01-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABN3.10%23OCT25";"XS1309526157";;"Euronext Amsterdam";"2025-10-23";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABNFRNSEP2019";"XS1297496876";;"Euronext Amsterdam";"2019-09-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABREGS 7.75%MAY23";"USN0028HAP03";;"Euronext Amsterdam";"2023-05-15";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABREGS1.8%20SEP19";"XS1492363848";;"Euronext Amsterdam";"2019-09-20";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABREGS2.45%4JUN20";"XS1241945473";;"Euronext Amsterdam";"2020-06-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"AABREGS2.875%JUN25";"XS1253955469";;"Euronext Amsterdam";"2025-06-30";"%";"102.40";"102.40";"102.40";"102.40";"21/12/2018 14:30";"CET";"1000";"1024.00"
"AABSGD3.43%19JUN25";"XS1246723503";;"Euronext Amsterdam";"2025-06-19";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABN 6.375%27APR21";"XS0619548216";;"Euronext Amsterdam";"2021-04-27";"%";"112.79";"112.79";"112.58";"112.58";"05/04/2019 10:52";"CET";"110000";"124016500.00"
"ABN USD6.25%APR22";"XS0619547838";;"Euronext Amsterdam";;"%";"105.50";"105.50";"105.50";"105.50";"28/11/2018 09:28";"CET";"100000";"93495.26"
"ABN2.125%26NOV20";"XS0997342562";;"Euronext Amsterdam";"2020-11-26";"%";"103.77";"103.77";"103.77";"103.77";"22/03/2019 11:09";"CET";"100000";"103770.00"
"ABN4.75%01APR2026";"XS1341466487";;"Euronext Amsterdam";"2026-04-01";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABNA0.625%31MAY22";"XS1422841202";;"Euronext Amsterdam";"2022-05-31";"%";"101.37";"101.37";"101.37";"101.37";"01/02/2019 15:30";"CET";"345000";"349726.50"
"ABNAM1.355%21FEB39";"XS1954741689";;"Euronext Amsterdam";"2039-02-21";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABNAM1.637%04JUN38";"XS1826217140";;"Euronext Amsterdam";"2038-06-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABNAMRO1.5%JAN20";"XS1170649484";;"Euronext Amsterdam";"2020-01-21";"%";"100.00";"100.00";"100.00";"100.00";"05/03/2018 09:41";"CET";"350000";"36331.40"
"ABNAMRO4.75%JAN20";"XS1165505980";;"Euronext Amsterdam";"2020-01-21";"%";"103.00";"103.00";"103.00";"103.00";"01/10/2018 09:44";"CET";"100000";"58615.96"
"ABNAMRO4.8%18APR26";"US00084DAL47";;"Euronext Amsterdam";"2026-04-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABNAMROB1.02%DEC32";"XS1530785721";;"Euronext Amsterdam";"2032-12-08";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABNAMROFRN29MAY20";"XS1827629897";;"Euronext Amsterdam";"2020-05-29";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABNFRN26SEP2022";"XS1113370123";;"Euronext Amsterdam";"2022-09-26";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABNS4.8%18APR2026";"XS1392917784";;"Euronext Amsterdam";"2026-04-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ABS2FCTAFRN29OCT22";"FR0011593441";;"Euronext Paris";"2022-10-29";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ABS2FCTBFRN29OCT22";"FR0011593458";;"Euronext Paris";"2022-10-29";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCOR1.25%25JAN24";"FR0013233384";"ACCAB";"Euronext Paris";"2024-01-25";"%";"101.46";"101.46";"101.46";"101.46";"13/03/2018 13:08";"CET";"1000000";"1014600.00"
"ACCOR1.75%4FEB2026";"FR0013399029";"ACCAD";"Euronext Paris";"2026-02-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCOR2.375%17SEP23";"FR0012949949";"ACCAA";"Euronext Paris";"2023-09-17";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCOR4.375%PL";"FR0013399177";"ACCAC";"Euronext Paris";;"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ACHMEA      6%PERP";"NL0000168714";;"Euronext Amsterdam";;"%";"105.19";"105.19";"105.10";"105.14";"08/04/2019 17:29";"CET";"389000";"408983.30"
"ACHMEAB0.375%NOV24";"XS1722558258";;"Euronext Amsterdam";"2024-11-22";"%";"100.07";"100.07";"100.07";"100.07";"07/02/2019 11:27";"CET";"200000";"200140.00"
"ACHMEAB0.5%20FEB26";"XS1953778807";;"Euronext Amsterdam";"2026-02-20";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ACMVIE4.625%JUN24";"FR0011947720";"ACMAA";"Euronext Paris";"2024-06-04";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"ADP 3,886%MAI20";"FR0010895987";;"Euronext Paris";"2020-05-10";"%";"111.00";"111.00";"111.00";"111.00";"29/10/2012 11:30";"CET";"50000";"56431.58"
