"Nom";"ISIN";"Symbole";"Place";"Maturité";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Bonds";"";;;;;;;;;;;;
"09 Avr 2019";;;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;;
"CRELANFRN30DEC20SU";"BEC0000AJU99";;"Euronext Expert Market";"2020-12-30";"%";"107.30";"107.30";"107.30";"107.30";"16/02/2016 12:00";"CET";"126000";"135198.00"
"CRELANFRN6SEP20SU";"BEC0000ASXF2";;"Euronext Expert Market";"2020-09-06";"%";"103.00";"103.00";"103.00";"103.00";"25/07/2017 12:00";"CET";"10000";"10300.00"
"CRH1.375%25OCT2019";"FR0011443985";"CRHBH";"Euronext Paris";"2019-10-25";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRH2.40%JAN2025";"FR0011388339";"CRHBG";"Euronext Paris";"2025-01-17";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRH3,60%13SEPT2021";"FR0011108976";"CRHBC";"Euronext Paris";"2021-09-13";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRH3.30%23SEPT2022";"FR0010945451";"CRHAX";"Euronext Paris";"2022-09-23";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRH3.50%22JUN2020";"FR0010910240";"CRHAW";"Euronext Paris";"2020-06-22";"%";"110.45";"110.45";"110.45";"110.45";"29/08/2017 14:52";"CET";"50000";"55555.82"
"CRH3.60%8MARS2024";"FR0011213453";"CRHBF";"Euronext Paris";"2024-03-08";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRH3.75%19FEB2020";"FR0010857672";"CRHAU";"Euronext Paris";"2020-02-19";"%";"112.85";"112.85";"112.85";"112.85";"24/10/2012 16:34";"CET";"4000";"4617.69"
"CRH3.90%20OCT2023";"FR0011133008";"CRHBD";"Euronext Paris";"2023-10-20";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRH3.90%JAN2021";"FR0010989889";"CRHAZ";"Euronext Paris";"2021-01-18";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRH4,00%10JAN2022";"FR0011057306";"CRHBB";"Euronext Paris";"2022-01-10";"%";"121.00";"121.00";"121.00";"121.00";"15/02/2017 13:14";"CET";"10049";"12201.14"
"CRH4.00%16JUN2022";"FR0011178946";"CRHBE";"Euronext Paris";"2022-06-17";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRH4.30%FEB2023";"FR0011011188";"CRHBA";"Euronext Paris";"2023-02-24";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CRLYONTPFRN29OCT49";"FR0000140071";"CLP";"Euronext Paris";;"EUR";"139.30";"139.39";"139.30";"139.39";"04/04/2019 15:56";"CET";"10";"1393.27"
"CRLYTSDIFRN29DEC49";"FR0000165912";;"Euronext Paris";;"%";"64.00";"64.00";"64.00";"64.00";"02/04/2019 16:30";"CET";"15383";"9845.12"
"CRLYTSDIFRN29NOV49";"FR0000584997";;"Euronext Paris";;"%";"60.50";"60.50";"60.50";"60.50";"02/04/2019 16:30";"CET";"2572";"1556.06"
"CS COM OC25JUL2019";"FR0012008753";"YSX";"Euronext Paris";"2019-07-25";"EUR";"700.00";"700.00";"700.00";"700.00";"29/06/2018 14:48";"CET";"2";"1400.00"
"CSI MAN EUR ZC19";"XS0301504659";;"Euronext Amsterdam";"2019-10-31";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CT BELG 11JULY19D";"BE0312765374";;"Euronext Brussels";"2019-07-11";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CT BELG 9MAY19D";"BE0312764369";;"Euronext Brussels";"2019-05-09";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"CTBELGZC12MAR20D";"BE0312769418";;"Euronext Brussels";"2020-03-12";"%";"-";"-";"-";"-";"-";"-";"-";"-"
